0 313296 81602 1281 282 0.504249 0.518866
1 379929 60591 1959 236 0.522947 0.529707
2 269391 58029 1048 187 0.494055 0.480772
3 383833 103401 1569 373 0.521654 0.540527
4 273252 67764 938 227 0.503217 0.533043
5 313440 90083 1146 282 0.518323 0.545886
6 291920 50068 1254 158 0.515197 0.572883
7 319944 47015 1549 186 0.513745 0.531611
8 319318 40905 1666 155 0.521562 0.548882
9 285817 77031 1017 266 0.508279 0.535792
10 364872 88928 1553 309 0.511211 0.528120
11 276055 60525 1079 189 0.500401 0.493654
12 362124 70162 1670 266 0.511595 0.528239
13 384435 79303 1902 319 0.512865 0.513648
14 285828 92813 901 239 0.529933 0.519316
15 309738 45252 1468 162 0.515990 0.535523
16 289679 61219 1122 187 0.513617 0.508286
17 379382 65794 2010 285 0.519671 0.535047
18 344807 81175 1442 263 0.514968 0.510940
19 299190 69786 1179 230 0.515531 0.517671
20 369435 65080 1839 255 0.513615 0.543436
21 351440 87085 1415 312 0.519553 0.537828
22 282992 81607 994 253 0.531892 0.555064
23 418878 92028 2091 367 0.522038 0.535493
24 284139 81173 949 222 0.516851 0.523636
25 432662 82821 2338 339 0.518027 0.528764
26 318240 71309 1316 233 0.507870 0.492494
27 378415 55132 2098 261 0.522735 0.574311
28 348669 80780 1578 307 0.511841 0.524614
29 342031 97535 1347 310 0.524474 0.530283
30 354669 62029 1714 227 0.514083 0.552758
31 330880 89343 1290 301 0.516667 0.549445
32 348306 35206 2008 153 0.521342 0.548771
33 353151 58297 1642 181 0.513347 0.559016
34 331970 98921 1209 303 0.512849 0.566063
35 310454 100800 1036 288 0.522063 0.545073
36 391369 72532 2037 291 0.516678 0.520264
37 285678 58638 1154 189 0.517793 0.507656
38 251239 60218 890 192 0.479661 0.490889
39 283691 71735 1029 238 0.515981 0.529382
